user_id,deal_id,swipe_score
10003132,40000010,32
10003132,20000040,5
10003132,20000037,25
10003132,20000038,15
10003132,20000042,23
10003132,20000043,14
10003132,20000045,18
10003132,20000039,10
10003132,20000046,20
10003132,20000041,8
10003132,20000044,11
10003132,20000030,7
10003132,20000032,25
10003132,20000034,14
10003132,20000036,20
10003132,20000031,12
10003132,20000047,13
10003132,20000028,25
10003132,20000035,15
10003132,40000011,20
10003132,40000012,22
10003132,40000013,15
10003132,40000014,12
10003132,40000015,10
10003132,40000016,18
10003132,40000018,11
10003132,40000017,13
10003132,20000033,24
10003132,40000007,12
10003132,30000002,7
10003132,30000052,5
10003132,20000029,12
10003132,40000009,10
10003132,30000003,7
10003132,30000055,6
10003132,30000050,6
10003132,30000056,14
10003132,20000027,28
10003132,40000005,13
10003132,40000008,2
10003132,30000047,13
10003132,30000054,13
10003132,30000049,14
10003132,30000001,7
10003132,30000048,6
10003132,20000026,20
10003132,30000053,6
10003132,30000051,12
10003132,30000057,6
10003132,40000006,4
10003132,20000231,13
10003132,30000100,0
10003132,40000002,18
10003132,40000003,9
10003132,40000004,22
10003132,40000001,0
10003132,40000024,17
10003132,40000025,8
10003132,40000019,15
10003132,40000020,21
10003132,40000021,17
10003132,40000022,17
10003132,40000023,11
10003132,40000027,21
10003132,40000026,21
10003132,40000028,20
10003132,21000033,0
10003132,21000026,0
10003132,40000034,0
10003132,40000029,0
10003132,40000030,0
10003132,40000035,0
10003132,40000036,25
10003132,40000037,0
10003132,40000038,0
10003132,40000039,21
10003132,40000040,11
10003132,40000041,4
10003132,40000047,0
10003132,40000054,7
10003132,40000067,11
10003132,40000070,6
10003132,40000072,7
10003132,40000073,3
10003132,40000077,16
10003132,40000085,11
10003132,40000055,20
10003132,40000065,6
10003132,40000068,12
10003132,40000069,6
10003132,40000071,6
10003132,40000074,11
10003132,40000086,10
10003132,40000053,12
10003132,40000056,17
10003132,40000057,20
10003132,40000058,21
10003132,40000059,15
10003132,40000060,5
10003132,40000061,0
10003132,40000062,5
10003132,40000063,18
10003132,40000064,5
10003132,40000066,0
10003132,40000075,11
10003132,40000076,4
10003132,40000078,23
10003132,40000079,14
10003132,40000080,9
10003132,40000081,19
10003132,40000082,22
10003132,40000083,15
10003132,40000084,11
10003132,40000090,0
10003132,40000092,0
10003132,40000091,0
10003132,40000042,10
10003132,40000045,11
10003132,40000044,14
10003132,40000031,0
10003132,40000043,11
10003132,40000046,16
10003132,40000032,25
10003132,40000033,25
10003132,40000087,33
10003132,40000088,33
10003132,40000089,0
10003132,40000093,6
10003132,40000107,0
10003132,40000109,0
10003132,40000111,0
10003132,40000095,7
10003132,40000097,18
10003132,40000099,30
10003132,40000100,10
10003132,40000102,0
10003132,40000104,20
10003132,40000094,0
10003132,40000096,20
10003132,40000098,8
10003132,40000101,7
10003132,40000103,0
10003132,40000105,9
10003132,40000106,0
10003132,40000108,9
10003132,40000110,11
10003132,40000112,8
